election_cycle,race_type,name_incumbent,name_challenger,name_third,us_state_fips,tipping,vpi,win_state_incumbent,win_state_challenger,win_state_third,win_ec_if_win_state_incumbent,win_ec_if_win_state_challenger,win_state_if_win_ec_incumbent,win_state_if_win_ec_challenger,voteshare_incumbent,voteshare_challenger,voteshare_third,voteshare_other,voteshare_lo_incumbent,voteshare_lo_challenger,voteshare_lo_third,voteshare_lo_other,voteshare_hi_incumbent,voteshare_hi_challenger,voteshare_hi_third,voteshare_hi_other,margin,margin_lo,margin_hi,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,35,0.0076,1.325731,0.073425,0.926575,,0.9073885,0.7579257,0.233036,0.9906895,42.72345,55.36498,,1.911568,37.19008,49.78426,,1.010545,48.30578,60.91021,,2.934278,-12.64153,-23.64445,-1.547131,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,34,0.007275,0.2683167,0.0352,0.9648,,0.7826704,0.727016,0.0963624,0.9894904,40.62001,58.48032,,0.8996673,34.51838,52.31175,,0.4851428,46.79201,64.60603,,1.363995,-17.86031,-30.09608,-5.525623,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,33,0.0155625,2.876356,0.282025,0.717975,,0.7329137,0.8839445,0.7229801,0.8952919,46.3842,52.56816,,1.047637,39.38663,45.55892,,0.5628113,53.41143,59.54499,,1.592304,-6.183969,-20.13905,7.843113,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,32,0.0279875,3.256726,0.217325,0.782675,,0.8601173,0.8677292,0.6538125,0.9580674,45.95669,52.18657,,1.856747,40.82161,46.98048,,0.9823841,51.15475,57.34307,,2.848643,-6.22988,-16.44803,4.132452,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,31,3.75e-05,0.0065363,0.984725,0.015275,,0.2903349,1.0,1.0,0.0215482,58.6298,39.56071,,1.809483,53.36105,34.36811,,0.9575889,63.84856,44.81078,,2.777143,19.06909,8.606579,29.44174,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,22,0.001825,0.1295172,0.92805,0.07195,,0.3113248,0.9555247,0.9892998,0.0977395,57.29643,41.84513,,0.8584338,50.63417,35.21984,,0.4641494,63.9465,48.4962,,1.302043,15.4513,2.151926,28.71175,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,18,0.00015,0.0074867,0.9541,0.0459,,0.305969,0.9972767,0.999572,0.0650768,56.21625,42.37491,,1.408836,51.05764,37.21286,,0.7520335,61.39146,47.52147,,2.154401,13.84134,3.559933,24.14182,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,19,0.0035875,0.3254833,0.6922,0.3078,,0.4208321,0.9974821,0.9974319,0.436487,51.42043,47.17888,,1.400689,45.95324,41.70204,,0.7478055,56.91173,52.61907,,2.14172,4.241548,-6.660803,15.20977,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,20,0.0002,0.0227394,0.930225,0.069775,,0.3136607,0.9960588,0.9990584,0.0988058,55.22498,42.86642,,1.908603,49.87986,37.62168,,1.010089,60.52983,48.16772,,2.933496,12.35857,1.750061,22.87961,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,21,0.0002125,0.0151118,0.977375,0.022625,,0.2985292,0.9878453,0.9990584,0.0317742,59.40231,39.39901,,1.198687,53.40923,33.42673,,0.6426564,65.39888,45.3756,,1.828205,20.0033,8.039713,31.95789,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,27,0.0659375,3.057686,0.237125,0.762875,,0.853242,0.8776667,0.6927752,0.9518766,46.55325,51.96517,,1.481577,41.58168,47.01848,,0.7897773,51.51569,56.90265,,2.267515,-5.411917,-15.27859,4.468603,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,23,0.0049875,0.9344953,0.224825,0.775175,,0.7401312,0.8325539,0.5697654,0.9175078,45.22146,53.19925,,1.579288,38.26904,46.24536,,0.8399177,52.18377,60.17905,,2.419097,-7.977796,-21.88411,5.916382,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,24,0.000225,0.0108914,0.002075,0.997925,,0.7349398,0.7043114,0.0052217,0.9992181,35.75357,62.86735,,1.379075,30.68866,57.74704,,0.7365885,40.8754,67.93909,,2.108119,-27.11378,-37.23473,-16.90025,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,25,0.0002375,0.0100613,0.002525,0.997475,,0.8118812,0.7047044,0.0070193,0.9993247,33.49684,64.88812,,1.615034,27.31057,58.60347,,0.858871,39.75209,71.09962,,2.475224,-31.39128,-43.75769,-18.86505,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,26,0.0671125,1.887945,0.179,0.821,,0.9540503,0.8469245,0.5847458,0.98852,45.99752,52.85673,,1.145751,41.15337,48.04413,,0.6150054,50.82011,57.68093,,1.74618,-6.859209,-16.53496,2.748085,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,15,0.0006,0.1996715,0.01375,0.98625,,0.5163636,0.7064892,0.0243109,0.9905815,32.55157,65.55998,,1.888453,24.32122,57.26287,,0.9997375,40.87522,73.7773,,2.901969,-33.00842,-49.39954,-16.45066,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,17,0.000725,0.0186042,0.00585,0.99415,,0.9871795,0.7074637,0.019774,0.9998934,38.90409,59.53459,,1.561321,34.03539,54.66038,,0.8311098,43.77617,64.38992,,2.391721,-20.6305,-30.30721,-10.93627,1,2020-09-05,22:17:02  5 Sep 2020,40000
