election_cycle,race_type,name_incumbent,name_challenger,name_third,scenario_id,scenario_probability,scenario_description,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,14,0.906225,Biden wins at least one state Trump won in 2016,1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,1,0.004575,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,2,0.049525,Recount (1+ decisive states within 0.5 ppt),1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,3,0.133125,Trump wins popular vote,1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,4,0.866875,Biden wins popular vote,1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,5,0.000975,Trump wins popular vote but loses Electoral College,1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,6,0.1110875,Biden wins popular vote but loses Electoral College,1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,8,0.0952,Trump majority (at least 50 percent of the vote),1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,9,0.816175,Biden majority (at least 50 percent of the vote),1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,10,0.0058,Trump landslide (double-digit popular vote margin),1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,11,0.3025,Biden landslide (double-digit popular vote margin),1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,12,0.0006,Map exactly the same as in 2016,1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,13,0.3881,Trump wins at least one state Clinton won in 2016,1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,14,0.906175,Biden wins at least one state Trump won in 2016,1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,1,0.005075,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,2,0.050875,Recount (1+ decisive states within 0.5 ppt),1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,3,0.14015,Trump wins popular vote,1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,4,0.85985,Biden wins popular vote,1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,5,0.0014125,Trump wins popular vote but loses Electoral College,1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,6,0.10895,Biden wins popular vote but loses Electoral College,1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,8,0.101475,Trump majority (at least 50 percent of the vote),1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,9,0.809675,Biden majority (at least 50 percent of the vote),1,2020-09-12,19:00:04 12 Sep 2020,40000
